Name,Description,Material,Color,Current Price,Original Price,Discount,Piece,Availability,Category,Size,Link
Pearl White Cotton Teens Pajama - JTP-303 ,,,PEARL WHITE,PKR 1011.50,PKR 1190.00,15%,,In stock,,12 Years|14 Years,https://www.junaidjamshed.com/jtp-303-s19-jj6634.html
JKVC-91196/S19/JJ6147 ,,Jamawar,Yellow,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-91196-s19-jj6147.html
JKVC-90239/S19/JJ6147 ,,Jamawar,RUST,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-90239-s19-jj6147.html
JKVC-90240/S19/JJ6147 ,,Jamawar,ELECTRIC BLUE,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-90240-s19-jj6147.html
JTK-A-39044/W19/JJ6456 ,Semi-Formal Kurta For Teens With Computerized EmbroideryOn Placket| Collar| Sleeves| Shoulders And Pockets.,Cotton,Terracotta Brown,PKR 2167.50,PKR 2890.00,25%,,In stock,Teens Kurta,12 Years|14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtk-a-39044-w19-jj6456.html
JYGK-W-JWT-19-4014 FB/Banzai ,Collection Type: Basic Mill Printed Cambric ShirtWear Type: CasualFabric Type: Cambric,Cambric,Multicolor,PKR 1533.00,PKR 2190.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4014-fb-banzai.html
JYGK-W-JWT-19-4013 FB/Cheekard Grid ,Wear Type: CasualFabric Type: KhaddarNeckline: Hi-NeckShirt Front: Front Open StyleShirt Back: StraightSleeves: Full SleevesStyle Cut: StraightLength: Mid LengthEmbellishment: Wooden Buttons,Khaddar,Grey,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4013-fb-cheekard-grid.html
JYGK-W-JWT-19-4021 FB/Esmeray ,Wear Type: CasualNeckline: Boat NeckShirt Front: Front Open Style With Applique EmbroideryShirt Back: Long Length BackSleeves: Full SleevesStyle Cut: Front Open With High Low StyleLength: High LowEmbellishment: Applique Embroidery Technique,Cambric,Black,PKR 2023.00,PKR 2890.00,30%,,In stock,Teens Kurti,Size 36,https://www.junaidjamshed.com/jygk-w-jwt-19-4021-fb-esmeray.html
JYGK-W-JWT-19-4015 FB/Nala ,Wear Type: CasualNeckline: Hi-NeckShirt Front: Front Open Style With BeltShirt Back: A LineSleeves: Full SleevesStyle Cut: A Line Front Open Belt StyleLength: Mid Length,Cambric,Black,PKR 1673.00,PKR 2390.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4015-fb-nala.html
JYGK-W-JWT-19-4018 FB/Trellis ,Wear Type: CasualNeckline: Hi-NeckShirt Front: Over-Lap CutShirt Back: A-LineSleeves: Applique Embroidered SleevesStyle Cut: Over-Lap Stylized CutLength: Short LengthEmbellishment: Applique Embroidery Technique,Cambric,Off White,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 36|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4018-fb-trellis.html
JYGK-W-JWT-19-4011 FB/Bagru ,Wear Type: CasualFabric Type: KhaddarNeckline: Hi-Neck With PlacketShirt Front: StraightShirt Back: StraightSleeves: Full Sleeves With Button DetailsStyle Cut: StraightLength: Mid LengthEmbellishment: Buttons,Cambric,Multicolor,PKR 1673.00,PKR 2390.00,30%,,In stock,Teens Kurti,Size 36|Size 38,https://www.junaidjamshed.com/jygk-w-jwt-19-4011-fb-bagru.html
JYGK-W-JWT-19-4020 FB/Acelya ,Wear Type: CasualNeckline: V NeckShirt Front: Over Lap Bow TiedShirt Back: A-LineSleeves: Applique Embroidered SleevesStyle Cut: Over-Lap Bow Tied StyleLength: Medium LengthEmbellishment: Applique Embroidery Technique,Cambric,LIME,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4020-fb-acelya.html
JTKS-A-39047/W19/JJ6628 ,Applique Semi-Formal Kurta For Teens With Computerized Machine EmbroideryOn Collar.,Polyester Viscose,Dark GREEN,PKR 3272.00,PKR 4090.00,20%,,In stock,Teens Kameez Shalwar,12 Years|14 Years,https://www.junaidjamshed.com/jtks-a-39047-w19-jj6628.html
JTKS-W-35591/W19/JJ6628 ,Semi-Formal Suit For Teen Designed With Computerized Machine Embroidery On Collar| & Placket.,Blended,CAMEL BROWN,PKR 2793.00,PKR 3990.00,30%,,In stock,Teens Kameez Shalwar,12 Years|14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtks-w-35591-w19-jj6628.html
JTKS-A-37432/W19/JJ6622 ,Semi-Formal Suit For Tens With Computerized Emb,Polyester Viscose,Blue,PKR 2723.00,PKR 3890.00,30%,,In stock,Teens Kameez Shalwar,14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtks-a-37432-w19-jj6622.html
Pearl White Cotton Teens Pajama - JTP-303 ,,,PEARL WHITE,PKR 1011.50,PKR 1190.00,15%,,In stock,,12 Years|14 Years,https://www.junaidjamshed.com/jtp-303-s19-jj6634.html
JKVC-91196/S19/JJ6147 ,,Jamawar,Yellow,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-91196-s19-jj6147.html
JKVC-90239/S19/JJ6147 ,,Jamawar,RUST,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-90239-s19-jj6147.html
JKVC-90240/S19/JJ6147 ,,Jamawar,ELECTRIC BLUE,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-90240-s19-jj6147.html
JTK-A-39044/W19/JJ6456 ,Semi-Formal Kurta For Teens With Computerized EmbroideryOn Placket| Collar| Sleeves| Shoulders And Pockets.,Cotton,Terracotta Brown,PKR 2167.50,PKR 2890.00,25%,,In stock,Teens Kurta,12 Years|14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtk-a-39044-w19-jj6456.html
JYGK-W-JWT-19-4014 FB/Banzai ,Collection Type: Basic Mill Printed Cambric ShirtWear Type: CasualFabric Type: Cambric,Cambric,Multicolor,PKR 1533.00,PKR 2190.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4014-fb-banzai.html
JYGK-W-JWT-19-4013 FB/Cheekard Grid ,Wear Type: CasualFabric Type: KhaddarNeckline: Hi-NeckShirt Front: Front Open StyleShirt Back: StraightSleeves: Full SleevesStyle Cut: StraightLength: Mid LengthEmbellishment: Wooden Buttons,Khaddar,Grey,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4013-fb-cheekard-grid.html
JYGK-W-JWT-19-4021 FB/Esmeray ,Wear Type: CasualNeckline: Boat NeckShirt Front: Front Open Style With Applique EmbroideryShirt Back: Long Length BackSleeves: Full SleevesStyle Cut: Front Open With High Low StyleLength: High LowEmbellishment: Applique Embroidery Technique,Cambric,Black,PKR 2023.00,PKR 2890.00,30%,,In stock,Teens Kurti,Size 36,https://www.junaidjamshed.com/jygk-w-jwt-19-4021-fb-esmeray.html
JYGK-W-JWT-19-4015 FB/Nala ,Wear Type: CasualNeckline: Hi-NeckShirt Front: Front Open Style With BeltShirt Back: A LineSleeves: Full SleevesStyle Cut: A Line Front Open Belt StyleLength: Mid Length,Cambric,Black,PKR 1673.00,PKR 2390.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4015-fb-nala.html
JYGK-W-JWT-19-4018 FB/Trellis ,Wear Type: CasualNeckline: Hi-NeckShirt Front: Over-Lap CutShirt Back: A-LineSleeves: Applique Embroidered SleevesStyle Cut: Over-Lap Stylized CutLength: Short LengthEmbellishment: Applique Embroidery Technique,Cambric,Off White,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 36|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4018-fb-trellis.html
JYGK-W-JWT-19-4011 FB/Bagru ,Wear Type: CasualFabric Type: KhaddarNeckline: Hi-Neck With PlacketShirt Front: StraightShirt Back: StraightSleeves: Full Sleeves With Button DetailsStyle Cut: StraightLength: Mid LengthEmbellishment: Buttons,Cambric,Multicolor,PKR 1673.00,PKR 2390.00,30%,,In stock,Teens Kurti,Size 36|Size 38,https://www.junaidjamshed.com/jygk-w-jwt-19-4011-fb-bagru.html
JYGK-W-JWT-19-4020 FB/Acelya ,Wear Type: CasualNeckline: V NeckShirt Front: Over Lap Bow TiedShirt Back: A-LineSleeves: Applique Embroidered SleevesStyle Cut: Over-Lap Bow Tied StyleLength: Medium LengthEmbellishment: Applique Embroidery Technique,Cambric,LIME,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4020-fb-acelya.html
JTKS-A-39047/W19/JJ6628 ,Applique Semi-Formal Kurta For Teens With Computerized Machine EmbroideryOn Collar.,Polyester Viscose,Dark GREEN,PKR 3272.00,PKR 4090.00,20%,,In stock,Teens Kameez Shalwar,12 Years|14 Years,https://www.junaidjamshed.com/jtks-a-39047-w19-jj6628.html
JTKS-W-35591/W19/JJ6628 ,Semi-Formal Suit For Teen Designed With Computerized Machine Embroidery On Collar| & Placket.,Blended,CAMEL BROWN,PKR 2793.00,PKR 3990.00,30%,,In stock,Teens Kameez Shalwar,12 Years|14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtks-w-35591-w19-jj6628.html
JTKS-A-37432/W19/JJ6622 ,Semi-Formal Suit For Tens With Computerized Emb,Polyester Viscose,Blue,PKR 2723.00,PKR 3890.00,30%,,In stock,Teens Kameez Shalwar,14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtks-a-37432-w19-jj6622.html
Pearl White Cotton Teens Pajama - JTP-303 ,,,PEARL WHITE,PKR 1011.50,PKR 1190.00,15%,,In stock,,12 Years|14 Years,https://www.junaidjamshed.com/jtp-303-s19-jj6634.html
JKVC-91196/S19/JJ6147 ,,Jamawar,Yellow,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-91196-s19-jj6147.html
JKVC-90239/S19/JJ6147 ,,Jamawar,RUST,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-90239-s19-jj6147.html
JKVC-90240/S19/JJ6147 ,,Jamawar,ELECTRIC BLUE,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-90240-s19-jj6147.html
JTK-A-39044/W19/JJ6456 ,Semi-Formal Kurta For Teens With Computerized EmbroideryOn Placket| Collar| Sleeves| Shoulders And Pockets.,Cotton,Terracotta Brown,PKR 2167.50,PKR 2890.00,25%,,In stock,Teens Kurta,12 Years|14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtk-a-39044-w19-jj6456.html
JYGK-W-JWT-19-4014 FB/Banzai ,Collection Type: Basic Mill Printed Cambric ShirtWear Type: CasualFabric Type: Cambric,Cambric,Multicolor,PKR 1533.00,PKR 2190.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4014-fb-banzai.html
JYGK-W-JWT-19-4013 FB/Cheekard Grid ,Wear Type: CasualFabric Type: KhaddarNeckline: Hi-NeckShirt Front: Front Open StyleShirt Back: StraightSleeves: Full SleevesStyle Cut: StraightLength: Mid LengthEmbellishment: Wooden Buttons,Khaddar,Grey,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4013-fb-cheekard-grid.html
JYGK-W-JWT-19-4021 FB/Esmeray ,Wear Type: CasualNeckline: Boat NeckShirt Front: Front Open Style With Applique EmbroideryShirt Back: Long Length BackSleeves: Full SleevesStyle Cut: Front Open With High Low StyleLength: High LowEmbellishment: Applique Embroidery Technique,Cambric,Black,PKR 2023.00,PKR 2890.00,30%,,In stock,Teens Kurti,Size 36,https://www.junaidjamshed.com/jygk-w-jwt-19-4021-fb-esmeray.html
JYGK-W-JWT-19-4015 FB/Nala ,Wear Type: CasualNeckline: Hi-NeckShirt Front: Front Open Style With BeltShirt Back: A LineSleeves: Full SleevesStyle Cut: A Line Front Open Belt StyleLength: Mid Length,Cambric,Black,PKR 1673.00,PKR 2390.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4015-fb-nala.html
JYGK-W-JWT-19-4018 FB/Trellis ,Wear Type: CasualNeckline: Hi-NeckShirt Front: Over-Lap CutShirt Back: A-LineSleeves: Applique Embroidered SleevesStyle Cut: Over-Lap Stylized CutLength: Short LengthEmbellishment: Applique Embroidery Technique,Cambric,Off White,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 36|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4018-fb-trellis.html
JYGK-W-JWT-19-4011 FB/Bagru ,Wear Type: CasualFabric Type: KhaddarNeckline: Hi-Neck With PlacketShirt Front: StraightShirt Back: StraightSleeves: Full Sleeves With Button DetailsStyle Cut: StraightLength: Mid LengthEmbellishment: Buttons,Cambric,Multicolor,PKR 1673.00,PKR 2390.00,30%,,In stock,Teens Kurti,Size 36|Size 38,https://www.junaidjamshed.com/jygk-w-jwt-19-4011-fb-bagru.html
JYGK-W-JWT-19-4020 FB/Acelya ,Wear Type: CasualNeckline: V NeckShirt Front: Over Lap Bow TiedShirt Back: A-LineSleeves: Applique Embroidered SleevesStyle Cut: Over-Lap Bow Tied StyleLength: Medium LengthEmbellishment: Applique Embroidery Technique,Cambric,LIME,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4020-fb-acelya.html
JTKS-A-39047/W19/JJ6628 ,Applique Semi-Formal Kurta For Teens With Computerized Machine EmbroideryOn Collar.,Polyester Viscose,Dark GREEN,PKR 3272.00,PKR 4090.00,20%,,In stock,Teens Kameez Shalwar,12 Years|14 Years,https://www.junaidjamshed.com/jtks-a-39047-w19-jj6628.html
JTKS-W-35591/W19/JJ6628 ,Semi-Formal Suit For Teen Designed With Computerized Machine Embroidery On Collar| & Placket.,Blended,CAMEL BROWN,PKR 2793.00,PKR 3990.00,30%,,In stock,Teens Kameez Shalwar,12 Years|14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtks-w-35591-w19-jj6628.html
JTKS-A-37432/W19/JJ6622 ,Semi-Formal Suit For Tens With Computerized Emb,Polyester Viscose,Blue,PKR 2723.00,PKR 3890.00,30%,,In stock,Teens Kameez Shalwar,14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtks-a-37432-w19-jj6622.html
Pearl White Cotton Teens Pajama - JTP-303 ,,,PEARL WHITE,PKR 1011.50,PKR 1190.00,15%,,In stock,,12 Years|14 Years,https://www.junaidjamshed.com/jtp-303-s19-jj6634.html
JKVC-91196/S19/JJ6147 ,,Jamawar,Yellow,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-91196-s19-jj6147.html
JKVC-90239/S19/JJ6147 ,,Jamawar,RUST,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-90239-s19-jj6147.html
JKVC-90240/S19/JJ6147 ,,Jamawar,ELECTRIC BLUE,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-90240-s19-jj6147.html
JTK-A-39044/W19/JJ6456 ,Semi-Formal Kurta For Teens With Computerized EmbroideryOn Placket| Collar| Sleeves| Shoulders And Pockets.,Cotton,Terracotta Brown,PKR 2167.50,PKR 2890.00,25%,,In stock,Teens Kurta,12 Years|14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtk-a-39044-w19-jj6456.html
JYGK-W-JWT-19-4014 FB/Banzai ,Collection Type: Basic Mill Printed Cambric ShirtWear Type: CasualFabric Type: Cambric,Cambric,Multicolor,PKR 1533.00,PKR 2190.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4014-fb-banzai.html
JYGK-W-JWT-19-4013 FB/Cheekard Grid ,Wear Type: CasualFabric Type: KhaddarNeckline: Hi-NeckShirt Front: Front Open StyleShirt Back: StraightSleeves: Full SleevesStyle Cut: StraightLength: Mid LengthEmbellishment: Wooden Buttons,Khaddar,Grey,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4013-fb-cheekard-grid.html
JYGK-W-JWT-19-4021 FB/Esmeray ,Wear Type: CasualNeckline: Boat NeckShirt Front: Front Open Style With Applique EmbroideryShirt Back: Long Length BackSleeves: Full SleevesStyle Cut: Front Open With High Low StyleLength: High LowEmbellishment: Applique Embroidery Technique,Cambric,Black,PKR 2023.00,PKR 2890.00,30%,,In stock,Teens Kurti,Size 36,https://www.junaidjamshed.com/jygk-w-jwt-19-4021-fb-esmeray.html
JYGK-W-JWT-19-4015 FB/Nala ,Wear Type: CasualNeckline: Hi-NeckShirt Front: Front Open Style With BeltShirt Back: A LineSleeves: Full SleevesStyle Cut: A Line Front Open Belt StyleLength: Mid Length,Cambric,Black,PKR 1673.00,PKR 2390.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4015-fb-nala.html
JYGK-W-JWT-19-4018 FB/Trellis ,Wear Type: CasualNeckline: Hi-NeckShirt Front: Over-Lap CutShirt Back: A-LineSleeves: Applique Embroidered SleevesStyle Cut: Over-Lap Stylized CutLength: Short LengthEmbellishment: Applique Embroidery Technique,Cambric,Off White,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 36|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4018-fb-trellis.html
JYGK-W-JWT-19-4011 FB/Bagru ,Wear Type: CasualFabric Type: KhaddarNeckline: Hi-Neck With PlacketShirt Front: StraightShirt Back: StraightSleeves: Full Sleeves With Button DetailsStyle Cut: StraightLength: Mid LengthEmbellishment: Buttons,Cambric,Multicolor,PKR 1673.00,PKR 2390.00,30%,,In stock,Teens Kurti,Size 36|Size 38,https://www.junaidjamshed.com/jygk-w-jwt-19-4011-fb-bagru.html
JYGK-W-JWT-19-4020 FB/Acelya ,Wear Type: CasualNeckline: V NeckShirt Front: Over Lap Bow TiedShirt Back: A-LineSleeves: Applique Embroidered SleevesStyle Cut: Over-Lap Bow Tied StyleLength: Medium LengthEmbellishment: Applique Embroidery Technique,Cambric,LIME,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4020-fb-acelya.html
JTKS-A-39047/W19/JJ6628 ,Applique Semi-Formal Kurta For Teens With Computerized Machine EmbroideryOn Collar.,Polyester Viscose,Dark GREEN,PKR 3272.00,PKR 4090.00,20%,,In stock,Teens Kameez Shalwar,12 Years|14 Years,https://www.junaidjamshed.com/jtks-a-39047-w19-jj6628.html
JTKS-W-35591/W19/JJ6628 ,Semi-Formal Suit For Teen Designed With Computerized Machine Embroidery On Collar| & Placket.,Blended,CAMEL BROWN,PKR 2793.00,PKR 3990.00,30%,,In stock,Teens Kameez Shalwar,12 Years|14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtks-w-35591-w19-jj6628.html
JTKS-A-37432/W19/JJ6622 ,Semi-Formal Suit For Tens With Computerized Emb,Polyester Viscose,Blue,PKR 2723.00,PKR 3890.00,30%,,In stock,Teens Kameez Shalwar,14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtks-a-37432-w19-jj6622.html
Pearl White Cotton Teens Pajama - JTP-303 ,,,PEARL WHITE,PKR 1011.50,PKR 1190.00,15%,,In stock,,12 Years|14 Years,https://www.junaidjamshed.com/jtp-303-s19-jj6634.html
JKVC-91196/S19/JJ6147 ,,Jamawar,Yellow,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-91196-s19-jj6147.html
JKVC-90239/S19/JJ6147 ,,Jamawar,RUST,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-90239-s19-jj6147.html
JKVC-90240/S19/JJ6147 ,,Jamawar,ELECTRIC BLUE,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-90240-s19-jj6147.html
JTK-A-39044/W19/JJ6456 ,Semi-Formal Kurta For Teens With Computerized EmbroideryOn Placket| Collar| Sleeves| Shoulders And Pockets.,Cotton,Terracotta Brown,PKR 2167.50,PKR 2890.00,25%,,In stock,Teens Kurta,12 Years|14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtk-a-39044-w19-jj6456.html
JYGK-W-JWT-19-4014 FB/Banzai ,Collection Type: Basic Mill Printed Cambric ShirtWear Type: CasualFabric Type: Cambric,Cambric,Multicolor,PKR 1533.00,PKR 2190.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4014-fb-banzai.html
JYGK-W-JWT-19-4013 FB/Cheekard Grid ,Wear Type: CasualFabric Type: KhaddarNeckline: Hi-NeckShirt Front: Front Open StyleShirt Back: StraightSleeves: Full SleevesStyle Cut: StraightLength: Mid LengthEmbellishment: Wooden Buttons,Khaddar,Grey,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4013-fb-cheekard-grid.html
JYGK-W-JWT-19-4021 FB/Esmeray ,Wear Type: CasualNeckline: Boat NeckShirt Front: Front Open Style With Applique EmbroideryShirt Back: Long Length BackSleeves: Full SleevesStyle Cut: Front Open With High Low StyleLength: High LowEmbellishment: Applique Embroidery Technique,Cambric,Black,PKR 2023.00,PKR 2890.00,30%,,In stock,Teens Kurti,Size 36,https://www.junaidjamshed.com/jygk-w-jwt-19-4021-fb-esmeray.html
JYGK-W-JWT-19-4015 FB/Nala ,Wear Type: CasualNeckline: Hi-NeckShirt Front: Front Open Style With BeltShirt Back: A LineSleeves: Full SleevesStyle Cut: A Line Front Open Belt StyleLength: Mid Length,Cambric,Black,PKR 1673.00,PKR 2390.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4015-fb-nala.html
JYGK-W-JWT-19-4018 FB/Trellis ,Wear Type: CasualNeckline: Hi-NeckShirt Front: Over-Lap CutShirt Back: A-LineSleeves: Applique Embroidered SleevesStyle Cut: Over-Lap Stylized CutLength: Short LengthEmbellishment: Applique Embroidery Technique,Cambric,Off White,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 36|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4018-fb-trellis.html
JYGK-W-JWT-19-4011 FB/Bagru ,Wear Type: CasualFabric Type: KhaddarNeckline: Hi-Neck With PlacketShirt Front: StraightShirt Back: StraightSleeves: Full Sleeves With Button DetailsStyle Cut: StraightLength: Mid LengthEmbellishment: Buttons,Cambric,Multicolor,PKR 1673.00,PKR 2390.00,30%,,In stock,Teens Kurti,Size 36|Size 38,https://www.junaidjamshed.com/jygk-w-jwt-19-4011-fb-bagru.html
JYGK-W-JWT-19-4020 FB/Acelya ,Wear Type: CasualNeckline: V NeckShirt Front: Over Lap Bow TiedShirt Back: A-LineSleeves: Applique Embroidered SleevesStyle Cut: Over-Lap Bow Tied StyleLength: Medium LengthEmbellishment: Applique Embroidery Technique,Cambric,LIME,PKR 1883.00,PKR 2690.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4020-fb-acelya.html
JTKS-A-39047/W19/JJ6628 ,Applique Semi-Formal Kurta For Teens With Computerized Machine EmbroideryOn Collar.,Polyester Viscose,Dark GREEN,PKR 3272.00,PKR 4090.00,20%,,In stock,Teens Kameez Shalwar,12 Years|14 Years,https://www.junaidjamshed.com/jtks-a-39047-w19-jj6628.html
JTKS-W-35591/W19/JJ6628 ,Semi-Formal Suit For Teen Designed With Computerized Machine Embroidery On Collar| & Placket.,Blended,CAMEL BROWN,PKR 2793.00,PKR 3990.00,30%,,In stock,Teens Kameez Shalwar,12 Years|14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtks-w-35591-w19-jj6628.html
JTKS-A-37432/W19/JJ6622 ,Semi-Formal Suit For Tens With Computerized Emb,Polyester Viscose,Blue,PKR 2723.00,PKR 3890.00,30%,,In stock,Teens Kameez Shalwar,14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtks-a-37432-w19-jj6622.html
Pearl White Cotton Teens Pajama - JTP-303 ,,,PEARL WHITE,PKR 1011.50,PKR 1190.00,15%,,In stock,,12 Years|14 Years,https://www.junaidjamshed.com/jtp-303-s19-jj6634.html
JKVC-91196/S19/JJ6147 ,,Jamawar,Yellow,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-91196-s19-jj6147.html
JKVC-90239/S19/JJ6147 ,,Jamawar,RUST,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-90239-s19-jj6147.html
JKVC-90240/S19/JJ6147 ,,Jamawar,ELECTRIC BLUE,PKR 3136.50,PKR 3690.00,15%,,In stock,Waist Coat,Size 02|Size 04|Size 06|Size 08|Size 10,https://www.junaidjamshed.com/jkvc-90240-s19-jj6147.html
JTK-A-39044/W19/JJ6456 ,Semi-Formal Kurta For Teens With Computerized EmbroideryOn Placket| Collar| Sleeves| Shoulders And Pockets.,Cotton,Terracotta Brown,PKR 2167.50,PKR 2890.00,25%,,In stock,Teens Kurta,12 Years|14 Years|16 Years|18 Years,https://www.junaidjamshed.com/jtk-a-39044-w19-jj6456.html
JYGK-W-JWT-19-4014 FB/Banzai ,Collection Type: Basic Mill Printed Cambric ShirtWear Type: CasualFabric Type: Cambric,Cambric,Multicolor,PKR 1533.00,PKR 2190.00,30%,,In stock,Teens Kurti,Size 36|Size 38|Size 40,https://www.junaidjamshed.com/jygk-w-jwt-19-4014-fb-banzai.html
